Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
35396244,"The Christmas Chronicles: Notes, Stories and 100 Essential Recipes for Midwinter",Nigel Slater,"Slater, Nigel",,"=""0008260192""","=""9780008260194""",0,3.99,Fourth Estate,Hardcover,456,2017,2017,,2019/12/03,currently-reading,currently-reading (#13),currently-reading,,,,1,0
42779072,The Unlikely Escape of Uriah Heep,H.G. Parry,"Parry, H.G.",,"=""0316452718""","=""9780316452717""",0,3.98,Redhook,Hardcover,464,2019,2019,,2019/10/04,currently-reading,currently-reading (#12),currently-reading,,,,1,0
60194162,Demon Copperhead,Barbara Kingsolver,"Kingsolver, Barbara",,"=""""","=""""",4,4.49,Harper,Hardcover,560,2022,2022,2024/11/29,2022/07/18,,,read,,,,1,0
45032,Mansfield Park,Jane Austen,"Austen, Jane","Kathryn Sutherland, Charles Edmund Brock","=""""","=""""",0,3.86,Penguin Books,Paperback,488,2003,1814,,2012/09/28,"classics, fiction","classics (#14), fiction (#256)",read,,,,1,0
2282,Breakfast at Tiffany's: A Short Novel and Three Stories,Truman Capote,"Capote, Truman",,"=""067960085X""","=""9780679600855""",3,3.85,Modern Library,Hardcover,162,1994,,2015/08/27,2015/08/09,"fiction, public-library, short-stories","fiction (#326), public-library (#340), short-stories (#13)",read,,,,1,0
59825231,The Pachinko Parlour,Elisa Shua Dusapin,"Dusapin, Elisa Shua",Aneesa Abbas Higgins,"=""1914198166""","=""9781914198168""",0,3.61,Daunt Books,Paperback,171,2022,2018,,2024/11/20,to-read,to-read (#855),to-read,,,,0,0
34466963,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"Walker, Matthew",,"=""""","=""""",5,4.38,Scribner,Hardcover,368,2017,2017,2024/11/20,2018/11/13,nonfiction,nonfiction (#246),read,Protect your sleep! 4.5 rounding up to 5. ,,,1,0
30288282,The Immortalists,Chloe Benjamin,"Benjamin, Chloe",,"=""0735213186""","=""9780735213180""",0,3.71,G.P. Putnam's Sons,Hardcover,346,2018,2018,,2024/11/15,to-read,to-read (#854),to-read,,,,0,0
208580732,The Story of the Forest,Linda Grant,"Grant, Linda",,"=""1638931682""","=""9781638931683""",0,3.80,Zando – SJP Lit,Hardcover,288,2024,2023,,2024/11/13,to-read,to-read (#853),to-read,,,,0,0
41803872,A Scarf for Keiko,Ann Malaspina,"Malaspina, Ann",Merrilee Liddiard,"=""1541521641""","=""9781541521643""",5,4.28,Kar-Ben Publishing ®,Library Binding,32,2019,2019,2024/11/12,2024/11/12,"children-s-fiction, library-e-book","children-s-fiction (#81), library-e-book (#49)",read,,,,1,0
24960945,Sonya's Chickens,Phoebe Wahl,"Wahl, Phoebe",,"=""1770497897""","=""9781770497894""",0,4.20,Tundra Books,Hardcover,32,2015,2015,,2024/11/12,to-read,to-read (#852),to-read,,,,0,0
56200635,Little Witch Hazel: A Year in the Forest,Phoebe Wahl,"Wahl, Phoebe",,"=""0735264899""","=""9780735264892""",5,4.63,Tundra Books,Hardcover,96,2021,2021,2024/11/12,2024/11/12,children-s-fiction,children-s-fiction (#80),read,,,,1,0
43305488,Children of Ash and Elm: A History of the Vikings,Neil Price,"Price, Neil",,"=""""","=""""",0,4.17,Allen Lane,Hardcover,656,2020,2020,,2024/11/07,to-read,to-read (#851),to-read,,,,0,0
15161,The Ladies of Grace Adieu and Other Stories,Susanna Clarke,"Clarke, Susanna",,"=""1596912510""","=""9781596912519""",0,3.87,Bloomsbury USA,Hardcover,235,2006,2006,,2024/11/07,to-read,to-read (#850),to-read,,,,0,0
4516,Marina,Carlos Ruiz Zafón,"Zafón, Carlos Ruiz",,"=""8423648990""","=""9788423648993""",0,4.13,Edebe,Paperback,238,1999,1999,,2024/11/07,to-read,to-read (#849),to-read,,,,0,0
209192698,Be Ready When the Luck Happens: A Memoir,Ina Garten,"Garten, Ina",,"=""0593799895""","=""9780593799895""",0,4.41,Crown,Hardcover,320,2024,2024,,2024/11/07,to-read,to-read (#848),to-read,,,,0,0
14201,Jonathan Strange & Mr Norrell,Susanna Clarke,"Clarke, Susanna",,"=""""","=""""",0,3.86,Tor Books,Paperback,1006,2006,2004,,2024/11/07,"currently-reading, audio-book, fiction","currently-reading (#11), audio-book (#53), fiction (#529)",currently-reading,,,,1,0
57595419,Becoming Duchess Goldblatt,Anonymous,"Anonymous, Anonymous","Gabra Zackman, J. Smith-Cameron, Lyle Lovett","=""""","=""""",4,4.04,HMH Adult Audio,Audible Audio,6,2021,2020,2024/11/02,2024/09/12,"audio-book, fiction","audio-book (#52), fiction (#528)",read,,,,1,0
196041838,"100 Ways to Change Your Life: The Science of Leveling Up Health, Happiness, Relationships & Success",Liz Moody,"Moody, Liz",,"=""""","=""9798212697224""",3,4.09,HarperCollins,Audio CD,,2023,2023,,2024/10/12,,,read,,,,1,0
34051011,Pachinko,Min Jin Lee,"Lee, Min Jin",,"=""""","=""""",0,4.34,Grand Central Publishing,Kindle Edition,496,2017,2017,,2021/01/03,currently-reading,currently-reading (#10),currently-reading,,,,1,0
199698485,The God of the Woods,Liz    Moore,"Moore, Liz",,"=""""","=""""",4,4.19,Riverhead Books,Kindle Edition,490,2024,2024,2024/10/20,2024/05/16,,,read,,,,1,0
57799745,"The Morning Star (Morgenstjernen, #1)",Karl Ove Knausgård,"Knausgård, Karl Ove","Karl Ove Knausgaard, Martin Aitken","=""0399563423""","=""9780399563423""",0,3.94,Penguin Press,Hardcover,666,2021,2020,,2024/10/17,to-read,to-read (#847),to-read,,,,0,0
62919746,The Editor: How Publishing Legend Judith Jones Shaped Culture in America,Sara B. Franklin,"Franklin, Sara B.",,"=""1982134348""","=""9781982134341""",4,4.24,Atria Books,Hardcover,336,2024,,2024/10/14,2024/08/18,"biography, food, memoir, nonfiction, public-library","biography (#4), food (#73), memoir (#100), nonfiction (#245), public-library (#561)",read,,,,1,0
40163119,Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,"Keefe, Patrick Radden",,"=""0385521316""","=""9780385521314""",0,4.47,Doubleday,Hardcover,441,2019,2018,,2021/12/18,limbo,limbo (#16),limbo,,,,1,0
171681821,The Anxious Generation: How the Great Rewiring of Childhood Caused an Epidemic of Mental Illness,Jonathan Haidt,"Haidt, Jonathan",,"=""0593655036""","=""9780593655030""",0,4.43,Penguin Press,Hardcover,385,2024,2024,2024/10/06,2024/08/07,currently-reading,currently-reading (#9),currently-reading,,,,3,0
11137079,The Vanishing Act of Esme Lennox,Maggie O'Farrell,"O'Farrell, Maggie",,"=""0755372263""","=""""",4,3.93,,Kindle Edition,261,2009,2006,2024/10/06,2024/09/30,,,read,,,,1,0
