Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
210384894,"Days of Shattered Faith (The Tyrant Philosophers, #3)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1035901528""","=""9781035901524""",0,4.29,Head of Zeus,Hardcover,512,2024,2024,,2024/12/05,to-read,to-read (#326),to-read,,,,0,0
150254281,"House of Open Wounds (The Tyrant Philosophers, #2)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1035901382""","=""9781035901388""",0,4.50,Bloomsbury Publishing ,Hardcover,608,2023,2023,,2024/12/05,to-read,to-read (#325),to-read,,,,0,0
52880778,"Red Rising (Red Rising, #1)",Pierce Brown,"Brown, Pierce",,"=""034553980X""","=""9780345539809""",0,4.27,Del Rey,Paperback,400,2014,2014,,2024/12/02,to-read,to-read (#324),to-read,,,,0,0
310558,The Inmost Light,Arthur Machen,"Machen, Arthur",,"=""1419167324""","=""9781419167324""",4,3.54,Kessinger Publishing,Paperback,48,2004,1894,2024/11/23,2024/11/23,,,read,,,,1,0
774846,The Great God Pan (Creation Classics),Arthur Machen,"Machen, Arthur",,"=""1871592119""","=""9781871592115""",4,3.68,Creation Books,Paperback,82,1993,1890,2024/11/20,2024/11/20,,,read,,,,1,0
15824358,The First 90 Days: Critical Success Strategies for New Leaders at All Levels,Michael D. Watkins,"Watkins, Michael D.",,"=""1422188612""","=""9781422188613""",0,3.86,Harvard Business Review Press,Hardcover,304,2013,2003,,2024/11/18,to-read,to-read (#323),to-read,,,,0,0
183222153,Third Eye,Felicia Day,"Day, Felicia",,"=""""","=""""",3,4.12,Audible Originals,Audible Audio,,2023,2023,2024/11/18,2024/11/18,,,read,,,,1,0
123233554,"Antinet Zettelkasten: A Knowledge System That Will Turn You Into a Prolific Reader, Researcher and Writer",Scott P. Scheper,"Scheper, Scott P.",,"=""""","=""9798360713241""",0,3.83,Independently published,Paperback,594,2022,2022,,2024/11/17,currently-reading,currently-reading (#29),currently-reading,,,,1,0
531989,Drown,Junot Díaz,"Díaz, Junot",,"=""1573226068""","=""9781573226066""",3,4.02,Riverhead Trade,Paperback,208,1997,1995,2024/11/17,2024/11/17,,,read,,,,1,0
58910753,The Shadow of the Empire: A Judge Dee Investigation,Qiu Xiaolong,"Xiaolong, Qiu",,"=""0727850814""","=""9780727850812""",0,3.57,Severn House,Hardcover,192,2021,2020,,2024/11/16,to-read,to-read (#322),to-read,,,,0,0
