Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
199223202,Husbands & Lovers,Beatriz Williams,"Williams, Beatriz",,"=""0593724232""","=""9780593724231""",3,4.14,Ballantine Books,Kindle Edition,384,2024,2024,2024/12/10,2024/06/01,,,read,,,,1,0
40930509,"Ruin and Rising (The Shadow and Bone Trilogy, #3)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",0,3.98,Henry Holt and Co,Kindle Edition,465,2014,2014,,2024/12/10,currently-reading,currently-reading (#1),currently-reading,,,,1,0
123004735,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""""","=""""",4,4.35,Bloomsbury Publishing,Kindle Edition,440,2013,2013,2024/11/30,2024/11/30,,,read,,,,1,0
45032,Mansfield Park,Jane Austen,"Austen, Jane","Kathryn Sutherland, Charles Edmund Brock","=""""","=""""",0,3.86,Penguin Books,Paperback,488,2003,1814,,2014/12/22,to-read,to-read (#13),to-read,,,,0,0
53672372,The Maidens,Alex Michaelides,"Michaelides, Alex",,"=""1250881161""","=""9781250881168""",4,3.62,Celadon Books,Kindle Edition,335,2021,2021,2024/11/25,2024/11/25,,,read,,,,1,0
127152907,In the Likely Event,Rebecca Yarros,"Yarros, Rebecca",,"=""1662511566""","=""9781662511561""",4,4.21,Montlake,Kindle Edition,348,2023,2023,2024/11/25,2024/11/25,,,read,,,,1,0
14061955,"Siege and Storm (The Shadow and Bone Trilogy, #2)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",5,3.81,Henry Holt and Company,Hardcover,435,2013,2013,2024/11/25,2024/11/25,,,read,,,,1,0
32320356,The Outrun: A Memoir,Amy Liptrot,"Liptrot, Amy",,"=""0393609006""","=""9780393609004""",4,4.00,W. W. Norton & Company,Kindle Edition,305,2017,2015,2024/11/25,2024/10/16,,,read,,,,1,0
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""059331817X""","=""9780593318171""",4,3.74,Alfred A. Knopf,Hardcover,303,2021,2021,2024/11/25,2024/11/25,,,read,,,,1,0
59356616,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",4,4.47,Henry Holt and Co. (BYR),Kindle Edition,479,2015,2015,2024/11/25,2024/06/22,,,read,,,,1,0
63241104,Tom Lake,Ann Patchett,"Patchett, Ann",,"=""006332752X""","=""9780063327528""",4,3.97,Harper,Hardcover,309,2023,2023,2024/11/25,2024/10/12,,,read,,,,1,0
133286944,Darling Girls,Sally Hepworth,"Hepworth, Sally",,"=""""","=""""",0,4.02,St. Martin's Press,Kindle Edition,361,2024,2024,,2024/09/29,to-read,to-read (#174),to-read,,,,1,0
1743005,La cabeza del cordero,Francisco Ayala,"Ayala, Francisco",,"=""8437601460""","=""9788437601465""",0,3.38,Cátedra,Paperback,288,2004,1949,,2018/02/07,to-read,to-read (#115),to-read,,,,0,0
52189092,"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,"Jackson, Holly",,"=""""","=""""",4,4.31,Delacorte Press,Kindle Edition,400,2020,2019,2024/10/15,2024/10/14,,,read,,,,1,0
36315977,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",4,3.93,Henry Holt and Co.,Kindle Edition,369,2012,2012,2024/10/14,2024/10/12,,,read,,,,1,0
61660241,Romantic Comedy,Curtis Sittenfeld,"Sittenfeld, Curtis",,"=""0399590951""","=""9780399590955""",3,3.63,Random House,Kindle Edition,300,2023,2023,2024/10/05,2024/10/01,,,read,,,,1,0
34910237,The Revolution of Marina M.,Janet Fitch,"Fitch, Janet",,"=""0316125776""","=""9780316125772""",4,3.72,Hachette Books,ebook,817,2017,2017,2024/09/29,2024/09/17,,,read,,,,1,0
17465709,"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants",Robin Wall Kimmerer,"Kimmerer, Robin Wall",,"=""1571313354""","=""9781571313355""",0,4.53,Milkweed Editions,Hardcover,408,2013,2013,,2024/07/05,to-read,to-read (#173),to-read,,,,1,0
190118193,Real Americans,Rachel Khong,"Khong, Rachel",,"=""0593537262""","=""9780593537268""",4,4.00,Knopf,Kindle Edition,610,2024,2024,2024/09/16,2024/09/15,,,read,,,,1,0
180357146,The Covenant of Water,Abraham   Verghese,"Verghese, Abraham",,"=""0802162177""","=""9780802162175""",0,4.44,Grove Press,Hardcover,724,2023,2023,,2024/09/15,to-read,to-read (#172),to-read,,,,0,0
59007345,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""""","=""""",3,4.18,Bloomsbury Children's,Kindle Edition,415,2021,2012,2024/09/15,2024/09/11,,,read,,,,1,0
34051011,Pachinko,Min Jin Lee,"Lee, Min Jin",,"=""""","=""""",0,4.34,Grand Central Publishing,Kindle Edition,496,2017,2017,,2024/09/13,to-read,to-read (#171),to-read,,,,0,0
39673241,We Were Liars,E. Lockhart,"Lockhart, E.",,"=""""","=""""",4,3.66,Delacorte Press,Kindle Edition,242,2018,2014,2024/09/11,2024/09/09,,,read,,,,1,0
126918788,The Women,Kristin Hannah,"Hannah, Kristin",,"=""""","=""""",5,4.62,St. Martin's Press,Kindle Edition,472,2024,2024,2024/09/09,2024/08/25,,,read,,,,1,0
197577126,This Summer Will Be Different,Carley Fortune,"Fortune, Carley",,"=""0593638883""","=""9780593638880""",5,3.99,Berkley,Paperback,320,2024,2024,2024/09/05,2024/09/02,,,read,,,,1,0
36381085,The Summer Wives,Beatriz Williams,"Williams, Beatriz",,"=""0062660349""","=""9780062660343""",5,3.74,William Morrow,Hardcover,371,2018,2018,2024/09/02,2024/06/01,,,read,,,,1,0
16158535,A Hundred Summers,Beatriz Williams,"Williams, Beatriz",,"=""039916216X""","=""9780399162169""",5,3.96,G.P. Putnam's Sons,Hardcover,357,2013,2013,2024/08/25,2024/06/01,,,read,,,,1,0
124947972,Las Madres: A novel,Esmeralda Santiago,"Santiago, Esmeralda",,"=""0307962628""","=""9780307962621""",5,4.05,Vintage,Kindle Edition,338,2023,2023,2024/08/25,2024/06/23,,,read,,,,1,0
25776122,The Summer Before the War,Helen Simonson,"Simonson, Helen",,"=""0812993101""","=""9780812993103""",5,3.78,Random House,Hardcover,481,2016,2016,2024/07/18,2024/07/05,,,read,,,,1,0
196845489,Oye,Melissa Mogollon,"Mogollon, Melissa",,"=""0593594908""","=""9780593594902""",0,3.65,Hogarth,Hardcover,336,2024,2024,,2024/06/25,to-read,to-read (#170),to-read,,,,1,0
29641,The End of the Affair,Graham Greene,"Greene, Graham",Monica Ali,"=""""","=""""",0,3.90,Vintage Classics,Paperback,160,2004,1951,,2024/06/28,to-read,to-read (#169),to-read,,,,0,0
61392438,I Will Find You,Harlan Coben,"Coben, Harlan",,"=""""","=""""",3,4.15,Grand Central Publishing,Kindle Edition,400,2023,2023,2024/06/26,2024/06/23,,,read,,,,1,0
61149872,The Inmate,Freida McFadden,"McFadden, Freida",,"=""""","=""""",4,4.04,Hollywood Upstairs Press ,Kindle Edition,388,2022,2022,2024/06/24,2024/06/18,,,read,,,,1,0
18297472,"Boy, Snow, Bird",Helen Oyeyemi,"Oyeyemi, Helen",,"=""1101613106""","=""9781101613108""",4,3.35,Riverhead,Kindle Edition,320,2014,2013,2024/06/23,2024/05/30,,,read,,,,1,0
127305890,"Bye, Baby",Carola Lovering,"Lovering, Carola",,"=""125028936X""","=""9781250289360""",4,3.76,St. Martin's Press,Hardcover,352,2024,2024,2024/06/20,2024/06/20,,,read,,,,1,0
69722,At the Bottom of the River,Jamaica Kincaid,"Kincaid, Jamaica",,"=""0374527342""","=""9780374527341""",0,3.76,"Farrar, Straus and Giroux",Paperback,82,2000,1983,,2024/06/14,to-read,to-read (#168),to-read,,,,1,0
195967140,The Teacher,Freida McFadden,"McFadden, Freida",,"=""1728296218""","=""9781728296210""",4,3.92,Poisoned Pen Press,Paperback,400,2024,2024,2024/06/18,2024/06/16,,,read,,,,1,0
199235727,"The Housemaid Is Watching (The Housemaid, #3)",Freida McFadden,"McFadden, Freida",,"=""1464223319""","=""9781464223310""",5,3.88,Sourcebooks,Paperback,364,2024,2024,2024/06/16,2024/06/13,,,read,,,,1,0
25092686,November 9,Colleen Hoover,"Hoover, Colleen",,"=""""","=""""",4,4.12,Atria Books,Kindle Edition,320,2015,2015,2024/06/14,2022/07/10,,,read,,,,1,0
