Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
251125,A Diary of Private Prayer,John Baillie,"Baillie, John",,"=""0684824981""","=""9780684824987""",0,4.66,Touchstone,Paperback,144,1996,1936,,2024/10/27,to-read,to-read (#102),to-read,,,,0,0
56849585,In the Lord I Take Refuge: 150 Daily Devotions Through the Psalms,Dane C. Ortlund,"Ortlund, Dane C.",,"=""1433577704""","=""9781433577703""",0,4.67,Crossway,Hardcover,416,2021,,,2024/10/27,to-read,to-read (#101),to-read,,,,0,0
80939,When the Sleeper Wakes,H.G. Wells,"Wells, H.G.","Orson Scott Card, Amanda Lee","=""0812970004""","=""9780812970005""",0,3.36,Modern Library,Paperback,304,2003,1899,,2024/10/19,currently-reading,currently-reading (#7),currently-reading,,,,1,0
4900,Heart of Darkness,Joseph Conrad,"Conrad, Joseph",,"=""1892295490""","=""9781892295491""",0,3.43,Green Integer,Paperback,188,2003,1899,,2024/10/16,to-read,to-read (#100),to-read,,,,0,0
845485,Downward to the Earth,Robert Silverberg,"Silverberg, Robert",Gene Szafran,"=""0451044975""","=""9780451044976""",0,3.91,Roc,Mass Market Paperback,176,1971,1969,,2024/10/16,to-read,to-read (#99),to-read,,,,0,0
17235026,"The Girl with All the Gifts (The Girl With All the Gifts, #1)",M.R. Carey,"Carey, M.R.",,"=""0356500152""","=""9780356500157""",0,3.95,Orbit ,Paperback,461,2014,2014,,2024/10/06,to-read,to-read (#98),to-read,,,,0,0
32758901,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,"Wells, Martha",,"=""""","=""""",0,4.14,Tor.com,ebook,144,2017,2017,,2024/10/06,to-read,to-read (#97),to-read,,,,0,0
20170404,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0385353308""","=""9780385353304""",0,4.07,Knopf,Hardcover,333,2014,2014,,2024/10/06,to-read,to-read (#96),to-read,,,,0,0
954674,"Little Brother (Little Brother, #1)",Cory Doctorow,"Doctorow, Cory",,"=""0765319853""","=""9780765319852""",0,3.93,Tor Teen,Hardcover,382,2008,2008,,2024/10/06,to-read,to-read (#95),to-read,,,,0,0
10552338,Reamde,Neal Stephenson,"Stephenson, Neal",,"=""0061977969""","=""9780061977961""",0,3.99,William Morrow,Hardcover,1044,2011,2011,,2024/10/06,to-read,to-read (#94),to-read,,,,0,0
